component;attribute;region;investment_period;unit;conversion_commodity;values
wind_onshore;investPerCapacity;BHR;2050;XX;;1.1
wind_onshore;opexFix;BHR;example;XX;;0.025
wind_onshore;opexPerOperation;BHR;example;XX;;0
wind_onshore;interestRate;BHR;example;XX;;0.08
wind_onshore;economicLifetime;BHR;constant;XX;;20
wind_onshore;commodity;BHR;constant;XX;;electricity
wind_onshore;clearName;BHR;example;XX;;Wind Onshore
wind_onshore;citation;BHR;example;XX;;FINE.NESTOR
wind_onshore;investPerCapacity;example;example;XX;;1.29
wind_onshore;investPerCapacity;example;2020;XX;;1.29
wind_onshore;investPerCapacity;example;2030;XX;;1.13
wind_onshore;investPerCapacity;example;2040;XX;;1.05
wind_onshore;investPerCapacity;example;2050;XX;;1
wind_onshore;opexFix;example;example;XX;;0.025
wind_onshore;opexPerOperation;example;example;XX;;0
wind_onshore;interestRate;example;example;XX;;0.08
wind_onshore;economicLifetime;world;constant;XX;;20
wind_onshore;commodity;world;constant;XX;;electricity
wind_onshore;clearName;example;example;XX;;Wind Onshore
wind_onshore;citation;example;example;XX;;FINE.NESTOR
wind_onshore;physicalUnit;DEU;constant;XX;;GW$_{el}$
wind_onshore;physicalUnit;BHR;constant;XX;;GW$_{el}$
wind_onshore;physicalUnit;world;constant;XX;;GW$_{el}$
battery_LIIon;physicalUnit;world;constant;XX;;GW$_{el}$
ccgt_hydrogenGas;physicalUnit;world;constant;XX;;GW$_{el}$
compressor;physicalUnit;world;constant;XX;;GW$_{H_{2},LHV}$
csp_he_sf;physicalUnit;world;constant;XX;;GW$_{el}$
csp_he_storage;physicalUnit;world;constant;XX;;GW$_{el}$
csp_ss_sf;physicalUnit;world;constant;XX;;GW$_{el}$
csp_ss_storage;physicalUnit;world;constant;XX;;GW$_{el}$
